reason,studytime,failures,famsup,paid,higher,goout,health,absences,passed
course,2,0,yes,yes,yes,2,5,2,yes
course,1,0,yes,no,no,2,5,0,no
course,1,3,no,no,yes,5,5,0,yes
course,1,3,no,no,no,5,4,0,no
course,1,1,no,no,yes,4,5,6,yes
reputation,3,2,yes,yes,yes,1,3,8,yes
home,1,3,yes,no,no,4,4,0,no
course,1,0,yes,no,yes,1,4,0,yes
course,2,0,no,yes,yes,4,1,2,no
reputation,1,0,no,no,yes,2,5,8,yes
course,1,3,yes,no,yes,5,4,6,yes
course,1,0,no,no,yes,2,3,2,yes
course,2,1,yes,yes,yes,5,5,4,yes
course,1,2,no,no,no,2,5,0,no
course,2,2,yes,no,yes,4,3,6,no
course,1,1,no,no,yes,4,5,0,no
course,1,0,no,no,no,3,2,2,yes
course,2,3,no,no,no,5,5,0,no
course,1,1,yes,no,no,2,2,16,yes
course,2,0,no,no,no,5,4,4,yes
home,2,0,no,yes,yes,3,3,0,yes
home,2,0,yes,yes,yes,5,4,0,no
reputation,2,0,yes,yes,yes,2,3,0,yes
course,1,2,yes,no,yes,5,2,0,no
reputation,2,0,yes,yes,yes,2,3,2,yes
reputation,2,0,yes,yes,yes,4,5,0,yes
home,2,3,no,no,yes,5,3,0,no
reputation,2,0,yes,yes,yes,5,4,4,no
course,2,0,no,yes,yes,4,4,4,no
reputation,2,0,no,yes,yes,4,5,2,yes
reputation,2,0,no,no,yes,4,4,4,no
other,1,0,yes,no,yes,3,3,10,no
course,2,0,yes,no,yes,3,2,4,yes
home,2,0,yes,yes,yes,3,3,10,no
home,2,0,no,yes,yes,3,3,2,yes
reputation,2,0,yes,no,yes,2,5,0,yes
reputation,2,0,yes,no,yes,3,1,56,no
reputation,2,0,yes,yes,yes,2,1,14,yes
other,2,0,yes,no,yes,4,4,12,yes
other,1,0,yes,yes,yes,3,3,2,yes
course,2,0,no,yes,yes,3,5,0,yes
reputation,2,0,yes,no,yes,3,3,6,no
home,2,0,no,no,yes,3,3,4,yes
course,2,0,no,no,yes,3,2,10,yes
course,2,0,no,no,yes,3,3,0,no
other,2,0,no,yes,yes,4,5,12,no
reputation,1,0,yes,no,yes,2,5,8,yes
home,1,0,no,no,yes,3,3,0,yes
course,2,0,no,no,yes,2,5,0,yes
home,1,0,no,no,yes,3,5,4,yes
home,1,0,yes,yes,yes,4,3,8,yes
home,1,1,yes,no,yes,4,2,24,yes
reputation,2,0,yes,yes,yes,2,3,0,yes
home,2,0,yes,no,yes,5,2,2,yes
reputation,2,0,yes,yes,yes,3,4,6,yes
course,2,0,yes,yes,yes,4,1,4,yes
reputation,1,0,yes,no,yes,2,3,18,no
reputation,4,0,yes,yes,yes,5,5,6,yes
home,3,1,yes,yes,yes,3,5,28,no
course,2,3,yes,yes,yes,3,4,5,no
other,2,0,no,yes,yes,2,1,10,yes
home,1,0,yes,yes,yes,2,5,6,yes
reputation,3,0,yes,yes,yes,2,4,6,no
reputation,4,0,yes,yes,yes,3,3,10,no
home,2,0,yes,yes,yes,5,3,13,yes
reputation,2,0,yes,yes,yes,4,4,0,yes
home,2,1,yes,yes,yes,4,5,15,no
other,1,0,yes,yes,yes,1,3,12,yes
reputation,2,0,no,yes,yes,4,1,2,yes
reputation,2,2,no,yes,yes,5,1,22,no
home,2,1,yes,yes,yes,4,4,13,no
home,1,0,yes,yes,yes,3,3,3,no
course,3,0,yes,yes,yes,3,4,4,yes
reputation,2,0,yes,no,yes,5,5,2,no
reputation,3,1,yes,no,yes,4,5,0,no
other,2,0,no,no,yes,1,3,2,yes
home,2,0,yes,yes,yes,3,4,0,yes
home,3,0,yes,no,yes,2,5,0,yes
reputation,2,1,no,no,yes,3,4,16,no
course,2,0,no,no,yes,4,3,10,yes
reputation,2,0,yes,yes,yes,3,3,2,yes
course,2,0,yes,yes,yes,2,3,14,no
course,3,0,no,no,yes,3,3,10,yes
reputation,2,0,no,no,yes,3,3,14,yes
course,2,0,yes,yes,yes,2,1,4,yes
reputation,2,0,yes,no,yes,5,2,14,no
reputation,2,0,yes,yes,yes,4,1,2,yes
home,2,0,yes,yes,yes,2,5,18,no
reputation,3,0,no,no,yes,3,2,10,yes
home,2,0,no,yes,yes,2,4,4,yes
home,1,0,no,no,yes,2,5,20,yes
course,2,0,no,no,yes,1,3,2,yes
reputation,2,1,no,no,no,4,2,0,no
course,2,0,no,no,yes,5,5,14,yes
course,2,0,yes,yes,yes,3,4,2,yes
course,1,0,no,no,yes,5,3,0,no
course,1,0,no,no,yes,2,5,0,yes
course,3,0,yes,yes,yes,4,3,0,no
course,1,0,no,no,yes,3,4,6,yes
course,1,0,no,no,yes,2,2,4,yes
other,1,3,no,no,no,5,1,16,no
course,2,1,yes,no,yes,3,5,8,no
other,1,0,no,yes,yes,2,5,0,yes
course,1,1,no,no,no,5,5,0,no
reputation,2,0,yes,no,yes,3,2,6,yes
other,1,1,no,no,no,5,5,4,no
course,1,0,no,no,yes,2,3,0,no
course,1,0,no,no,yes,2,5,0,yes
course,1,1,yes,no,yes,4,5,2,no
reputation,4,0,yes,yes,yes,3,4,6,yes
reputation,2,0,yes,no,yes,1,1,12,yes
home,2,0,no,no,yes,4,4,8,yes
course,4,0,no,yes,yes,1,2,0,no
home,2,0,yes,yes,yes,2,2,21,yes
course,2,0,yes,yes,yes,2,3,2,no
course,3,0,no,no,yes,2,3,1,yes
home,3,0,no,no,yes,3,4,4,no
home,3,0,yes,yes,yes,3,3,0,no
reputation,2,0,yes,yes,yes,5,1,13,yes
other,2,0,no,yes,yes,4,5,2,yes
reputation,2,0,no,yes,yes,4,4,8,yes
reputation,2,0,yes,yes,yes,5,5,10,yes
reputation,2,0,yes,no,no,5,3,0,no
home,2,2,yes,yes,yes,5,5,15,no
reputation,4,0,yes,yes,yes,5,2,4,yes
home,2,0,yes,yes,yes,3,3,2,yes
home,2,0,yes,yes,yes,2,1,2,yes
reputation,2,0,yes,yes,yes,3,1,2,yes
course,2,0,yes,yes,yes,4,5,6,yes
home,2,0,no,no,no,1,5,75,no
home,1,0,no,yes,yes,4,3,22,no
reputation,2,1,yes,no,yes,4,4,15,no
course,1,0,no,yes,yes,3,1,8,yes
home,1,0,no,yes,yes,4,5,30,no
home,1,1,no,no,yes,4,3,19,yes
reputation,4,0,yes,yes,yes,2,3,1,yes
home,2,0,no,no,yes,4,4,4,yes
course,2,0,yes,no,yes,5,5,4,yes
reputation,2,0,no,yes,yes,3,4,2,yes
other,3,0,yes,yes,yes,3,2,5,yes
reputation,3,0,yes,yes,yes,3,3,6,yes
reputation,3,0,no,yes,yes,4,2,6,yes
reputation,2,0,yes,yes,yes,3,2,9,yes
home,2,0,yes,yes,yes,2,5,11,yes
reputation,3,0,yes,yes,yes,2,3,0,yes
reputation,2,1,no,no,yes,3,5,12,yes
reputation,4,0,yes,yes,yes,2,3,6,yes
reputation,3,0,yes,yes,yes,2,4,8,yes
home,1,0,yes,yes,yes,3,5,4,yes
reputation,2,0,yes,yes,yes,4,2,0,no
home,2,0,yes,yes,yes,5,2,10,no
reputation,4,0,yes,yes,yes,3,3,0,yes
home,1,0,yes,yes,yes,2,1,5,yes
home,2,0,yes,no,yes,4,4,14,yes
home,1,0,no,yes,yes,1,5,0,yes
reputation,3,0,yes,yes,yes,3,3,0,yes
reputation,4,0,yes,yes,yes,2,5,0,yes
home,2,1,yes,no,yes,4,3,20,yes
reputation,2,1,yes,yes,yes,3,3,8,yes
course,1,0,no,no,yes,3,5,0,yes
reputation,1,1,yes,yes,yes,4,4,38,no
reputation,2,1,no,no,yes,3,5,0,yes
reputation,2,1,yes,no,yes,3,3,18,yes
home,2,1,no,no,yes,4,3,0,no
other,2,0,yes,no,no,1,2,20,yes
course,2,1,no,no,yes,2,4,3,yes
reputation,2,1,yes,yes,yes,2,1,22,yes
home,3,2,no,no,yes,2,3,14,yes
reputation,3,1,no,no,yes,2,3,40,yes
course,2,0,yes,yes,yes,3,1,0,no
course,3,0,yes,yes,yes,4,5,9,no
course,3,0,yes,yes,yes,4,5,0,yes
course,2,0,yes,yes,yes,4,5,2,yes
course,2,0,yes,yes,yes,2,5,23,yes
course,2,0,yes,no,yes,2,3,12,no
course,3,0,yes,yes,yes,2,3,3,yes
course,3,0,yes,no,yes,3,5,1,yes
home,3,0,no,no,yes,3,2,0,yes
course,3,0,no,no,yes,3,3,3,yes
reputation,1,0,no,no,yes,5,5,3,yes
course,1,0,yes,no,yes,5,4,8,yes
course,3,0,yes,yes,yes,4,4,7,no
course,3,0,yes,yes,yes,3,4,4,yes
course,4,0,yes,no,yes,5,5,2,no
course,3,0,yes,no,yes,3,5,7,yes
home,2,0,no,no,yes,4,4,0,no
home,2,0,no,no,yes,3,2,0,no
course,4,0,no,no,yes,4,4,0,no
course,3,0,no,no,yes,5,5,16,yes
home,3,1,no,yes,yes,3,5,12,yes
home,2,0,yes,yes,yes,2,2,0,no
home,4,0,yes,no,yes,3,1,7,yes
home,2,0,yes,yes,yes,3,2,4,yes
home,3,1,no,yes,yes,4,3,4,yes
home,2,1,yes,no,yes,3,2,0,no
home,2,0,no,no,yes,3,5,11,yes
home,2,1,yes,no,yes,1,4,0,no
course,3,0,yes,no,yes,3,3,4,yes
other,3,0,no,no,yes,3,1,7,yes
course,3,0,no,no,yes,2,4,9,yes
course,3,0,yes,yes,yes,5,5,0,no
reputation,3,0,yes,yes,yes,3,4,0,yes
course,1,1,yes,no,yes,5,5,10,yes
home,2,3,no,no,yes,4,2,8,no
course,2,0,yes,yes,yes,4,3,2,yes
course,1,1,no,no,no,3,3,7,no
home,1,1,yes,no,yes,4,5,4,no
home,2,0,yes,yes,yes,5,2,4,yes
course,2,0,yes,no,yes,4,5,0,no
other,2,0,yes,yes,yes,3,5,4,yes
reputation,2,0,no,no,yes,3,5,2,yes
home,1,0,no,no,yes,2,3,4,yes
course,3,0,no,no,yes,2,4,0,yes
course,2,0,no,no,yes,4,5,0,yes
other,2,1,no,no,no,3,5,2,yes
other,2,0,yes,no,yes,2,3,0,yes
course,2,0,yes,yes,yes,4,1,0,yes
course,2,0,no,no,yes,2,3,0,yes
course,2,0,yes,yes,yes,4,3,4,yes
other,3,0,no,yes,yes,2,5,0,yes
reputation,1,1,yes,yes,yes,1,1,0,no
course,1,0,yes,yes,yes,3,4,0,yes
other,2,0,yes,yes,yes,2,5,10,yes
home,2,2,no,no,yes,2,3,4,no
other,1,0,yes,yes,no,3,3,3,yes
home,3,0,no,no,yes,3,3,8,yes
course,1,0,no,no,yes,5,1,14,no
reputation,3,0,no,no,yes,4,1,0,yes
home,3,0,no,no,yes,2,4,2,yes
course,3,2,yes,yes,yes,3,3,4,yes
course,2,0,no,yes,yes,3,2,4,yes
home,2,0,no,yes,yes,3,1,0,yes
reputation,2,0,yes,yes,yes,4,1,17,yes
home,2,0,no,yes,yes,4,2,4,yes
other,1,0,no,no,yes,3,5,5,no
home,2,0,no,no,yes,3,3,2,yes
other,1,1,no,no,yes,2,5,0,no
home,1,1,no,yes,yes,3,3,14,no
other,3,0,no,yes,yes,3,4,2,yes
reputation,1,0,yes,yes,yes,3,5,7,no
course,3,1,no,no,yes,2,5,0,no
course,2,0,yes,yes,yes,4,1,0,no
course,2,1,no,no,yes,1,5,0,no
course,2,2,yes,yes,yes,4,4,11,no
course,1,0,no,no,yes,5,2,3,yes
course,1,3,no,no,yes,3,3,3,no
course,1,0,no,no,yes,1,5,0,yes
course,1,0,no,no,yes,3,5,5,no
course,2,0,no,no,yes,4,3,4,yes
course,2,0,yes,no,yes,3,3,2,yes
other,2,0,no,no,yes,2,3,6,yes
home,3,0,yes,no,yes,2,5,0,yes
home,2,0,yes,no,yes,2,5,0,yes
reputation,2,0,yes,no,yes,2,5,6,yes
home,2,0,no,no,yes,4,3,0,yes
home,2,0,yes,no,yes,4,1,2,yes
home,2,0,yes,no,yes,2,1,0,yes
home,2,0,yes,no,yes,1,5,0,yes
reputation,2,0,yes,no,yes,3,2,2,yes
reputation,3,0,yes,no,yes,2,4,0,yes
course,1,0,yes,no,yes,3,5,0,yes
course,2,0,yes,no,yes,3,3,0,yes
home,3,0,yes,no,yes,2,3,0,yes
home,1,0,yes,no,yes,4,2,6,yes
reputation,3,0,yes,no,yes,3,2,10,yes
reputation,2,0,yes,no,yes,2,4,2,yes
course,1,3,yes,yes,yes,5,5,2,no
home,1,0,no,no,yes,3,5,6,yes
reputation,2,0,no,no,yes,1,1,0,yes
other,1,0,yes,yes,yes,2,5,0,yes
course,2,0,no,no,yes,1,5,0,yes
reputation,2,0,yes,no,yes,4,5,2,yes
course,3,0,yes,no,yes,2,5,2,yes
home,1,0,yes,no,yes,2,5,6,yes
home,1,0,yes,no,yes,2,5,8,yes
other,1,0,no,no,yes,4,1,0,yes
home,2,0,yes,yes,yes,3,5,2,yes
home,2,0,yes,yes,yes,5,5,4,yes
home,2,0,yes,yes,yes,2,5,0,yes
reputation,2,0,yes,no,yes,1,5,2,yes
course,2,0,yes,no,yes,2,5,0,yes
course,2,0,no,no,yes,2,2,0,yes
home,1,0,yes,no,yes,3,5,4,yes
other,1,0,yes,no,yes,1,5,4,yes
home,3,0,yes,no,yes,3,4,0,yes
reputation,3,0,yes,no,yes,3,5,4,yes
course,3,0,yes,no,yes,2,5,2,yes
reputation,1,0,yes,no,yes,1,2,8,yes
home,2,0,yes,no,yes,3,3,16,yes
home,1,0,yes,no,yes,3,5,8,yes
course,2,0,yes,no,yes,3,5,0,yes
course,1,0,yes,no,yes,1,1,0,yes
course,2,1,no,no,yes,3,5,14,yes
course,2,0,yes,yes,yes,2,5,4,yes
home,2,0,yes,no,yes,5,3,6,yes
reputation,4,0,no,no,yes,2,2,2,yes
home,2,0,yes,no,yes,3,5,4,yes
other,2,0,yes,no,yes,4,3,2,yes
course,2,0,yes,no,yes,3,4,0,yes
other,2,0,yes,no,yes,3,5,0,yes
other,1,0,no,no,yes,5,5,4,no
course,1,0,yes,no,yes,4,5,0,yes
other,1,0,no,no,yes,4,1,0,yes
other,2,0,no,no,yes,4,2,2,yes
reputation,2,0,yes,no,yes,2,1,0,yes
reputation,2,0,yes,no,yes,2,5,8,yes
home,2,0,yes,no,yes,2,5,0,yes
course,2,0,yes,yes,yes,3,5,2,yes
other,2,0,yes,no,yes,4,4,0,yes
course,1,0,yes,no,yes,5,5,0,yes
reputation,2,0,no,no,yes,3,1,0,yes
home,3,0,yes,no,yes,4,4,0,yes
reputation,2,0,no,no,yes,4,2,0,yes
course,2,0,yes,no,yes,3,1,2,yes
reputation,4,0,yes,no,yes,3,3,0,yes
course,4,0,yes,no,yes,3,5,0,yes
reputation,2,0,yes,no,yes,3,4,0,yes
reputation,4,0,yes,no,yes,2,3,6,yes
reputation,4,0,yes,no,yes,2,5,2,yes
course,4,0,no,no,yes,3,3,0,yes
reputation,2,0,yes,no,yes,4,5,2,yes
reputation,1,0,no,no,yes,2,5,0,yes
home,2,0,yes,no,yes,3,5,4,yes
home,2,0,yes,no,yes,3,5,0,yes
course,4,0,no,no,yes,3,1,0,yes
reputation,4,0,no,no,yes,3,3,1,yes
home,1,3,yes,no,no,1,3,0,yes
course,2,0,yes,no,yes,3,3,14,yes
course,1,0,yes,no,yes,2,3,0,yes
home,3,0,no,no,yes,2,5,2,no
reputation,2,0,yes,no,yes,4,5,4,yes
home,2,0,no,yes,yes,3,4,2,yes
home,2,0,yes,no,yes,2,4,2,yes
reputation,2,0,no,no,yes,4,5,4,yes
course,2,0,yes,no,yes,4,2,6,yes
reputation,3,0,yes,no,yes,3,1,4,yes
reputation,2,0,no,no,yes,2,3,6,yes
reputation,2,0,yes,no,yes,3,5,6,yes
home,3,0,yes,no,yes,3,4,2,yes
reputation,1,0,no,no,yes,5,1,6,yes
home,2,0,yes,no,yes,3,2,0,yes
home,2,0,yes,no,yes,3,1,2,yes
reputation,4,0,yes,no,yes,4,4,2,yes
home,4,0,yes,yes,yes,2,1,4,yes
reputation,1,0,yes,yes,yes,3,4,6,yes
course,2,0,yes,no,yes,5,5,0,yes
reputation,1,0,no,no,yes,4,1,4,yes
course,3,0,yes,no,yes,5,3,2,yes
other,1,0,yes,no,yes,5,4,12,no
other,3,0,yes,no,yes,3,4,0,yes
course,1,0,yes,yes,yes,3,5,2,yes
home,2,0,yes,no,yes,5,2,16,yes
course,2,0,yes,no,yes,4,1,0,yes
reputation,4,0,no,no,yes,3,4,10,yes
course,4,0,yes,no,yes,2,3,4,yes
home,3,0,yes,no,yes,3,5,4,yes
home,4,0,yes,no,yes,5,1,8,yes
other,3,0,yes,no,yes,5,4,2,yes
course,1,0,no,no,yes,3,4,4,yes
reputation,3,0,yes,no,yes,2,2,4,yes
home,2,1,no,no,yes,2,5,12,yes
course,1,0,no,no,yes,2,3,10,yes
reputation,2,0,no,no,yes,2,5,4,yes
course,2,0,yes,no,yes,4,5,6,yes
reputation,2,0,yes,no,yes,3,2,4,yes
home,1,0,no,no,yes,2,5,6,yes
course,2,1,yes,no,yes,4,5,14,yes
reputation,1,0,no,no,yes,3,4,2,yes
course,2,0,no,no,yes,3,1,0,yes
home,4,0,yes,no,yes,4,5,6,yes
course,2,0,yes,no,yes,2,5,2,yes
course,1,0,yes,no,yes,4,5,4,yes
home,2,0,no,no,yes,4,5,0,yes
home,1,0,no,no,yes,5,5,2,no
home,2,0,no,no,yes,2,1,0,yes
course,2,2,yes,no,no,2,5,0,yes
course,1,0,no,no,yes,5,4,8,yes
course,3,0,yes,no,yes,3,1,4,yes
course,3,0,yes,no,yes,2,5,0,yes
reputation,2,3,yes,no,no,5,5,10,no
course,1,0,yes,no,yes,2,5,8,yes
course,1,0,yes,no,yes,3,4,6,yes
course,1,0,yes,no,yes,4,5,2,yes
course,1,0,no,no,yes,1,5,12,yes
course,1,0,no,no,yes,1,2,4,yes
home,1,1,no,no,yes,4,5,12,yes
course,2,0,yes,no,yes,3,5,2,yes
course,3,0,yes,no,yes,3,5,4,yes
course,2,0,no,no,yes,5,5,2,yes
course,2,0,yes,no,yes,3,3,0,yes
course,1,0,no,no,yes,4,4,2,yes
course,3,0,yes,no,yes,3,5,10,yes
reputation,1,0,yes,no,yes,3,1,8,yes
course,1,0,yes,no,yes,2,5,4,yes
course,2,2,no,no,yes,4,5,0,yes
course,1,0,no,no,yes,2,5,6,yes
course,1,1,no,no,yes,5,1,2,no
course,4,0,yes,no,yes,2,3,6,yes
home,2,0,no,no,yes,2,1,24,no
course,3,0,yes,no,yes,3,5,0,yes
reputation,1,0,yes,no,yes,3,2,4,yes
course,3,0,yes,no,yes,2,5,2,yes
course,1,0,no,no,yes,4,1,4,yes
home,1,0,yes,no,yes,5,5,22,no
course,2,0,yes,no,yes,2,5,0,yes
home,1,0,yes,no,no,2,5,0,yes
home,2,1,yes,no,yes,2,3,2,yes
course,2,0,yes,no,yes,2,5,6,yes
course,2,0,no,no,yes,4,1,6,yes
course,1,0,yes,no,no,2,5,16,no
course,1,0,no,no,yes,5,5,0,yes
course,1,2,no,no,no,5,4,0,no
course,1,1,no,no,yes,4,5,6,yes
reputation,3,0,yes,yes,yes,1,3,2,yes
home,1,0,yes,no,no,4,4,6,yes
course,1,0,yes,no,yes,1,4,0,yes
course,2,0,no,yes,yes,4,1,0,no
reputation,1,3,no,no,yes,2,5,14,yes
course,1,3,yes,no,yes,5,4,6,yes
course,1,0,no,no,yes,2,3,4,yes
course,2,1,yes,no,yes,5,5,0,no
course,1,2,no,no,yes,5,5,0,yes
course,1,1,no,yes,no,2,5,8,no
course,2,2,yes,no,yes,4,3,4,no
course,1,0,no,no,yes,4,5,2,yes
course,1,1,no,no,no,3,2,2,no
course,2,0,no,no,no,5,5,0,no
course,1,3,yes,no,no,2,2,10,no
course,2,0,no,no,no,5,4,0,yes
home,2,0,no,no,yes,3,3,0,yes
home,2,0,yes,no,yes,5,4,0,yes
reputation,2,0,yes,no,yes,2,3,0,yes
course,1,1,yes,no,yes,5,2,4,yes
reputation,2,0,yes,no,yes,2,3,0,yes
reputation,2,0,yes,no,yes,4,5,0,yes
home,2,0,no,no,yes,5,3,0,yes
reputation,2,0,yes,no,yes,5,4,0,yes
course,2,0,no,no,yes,4,4,0,yes
reputation,2,0,no,no,yes,4,5,0,yes
reputation,2,0,no,no,yes,4,4,4,yes
other,1,0,yes,no,yes,3,3,8,yes
course,2,0,yes,yes,yes,3,2,4,yes
home,2,0,yes,yes,yes,3,3,4,yes
home,2,0,no,no,yes,3,3,0,yes
reputation,2,0,yes,no,yes,2,5,0,yes
reputation,2,0,yes,no,yes,3,1,32,yes
reputation,2,0,yes,no,yes,2,1,8,yes
other,2,0,yes,no,yes,4,4,6,yes
other,1,0,yes,no,yes,3,3,0,yes
course,2,0,no,no,yes,3,5,0,yes
reputation,2,0,yes,no,yes,3,3,10,yes
home,2,0,no,no,yes,3,3,6,yes
course,2,0,no,no,yes,3,2,6,yes
course,2,0,no,no,yes,3,3,0,yes
